"PGID_","SMILES","Bandgap","Dielectric.Constant","Ionic.Dielectric.Constant","Electronic.Dielectric.Constant","Refractive.Index","Atomization.Energy","Breakdown.Field","Density","Ionization.Energy","Electron.Affinity","Cohesive.Energy","Dielectric.Loss","Melting.Temperature","Glass.Transition.Temperature","Onset.of.Degradation.Temperature","Hildebrand.Solubility.Parameter","Energy.Density","State","Molecular.Weight","Entanglement.Molecular.Weight","Molar.Heat.Capacity","Molar.Volume"
10302,"C([*])C([*])(C(=C)OCC(C#N)CCCCC)",6.6,3.02,NA,NA,1.64,-5.35,NA,1.05,6.33,0.56,NA,NA,NA,348,NA,19.44,NA,NA,NA,NA,NA,NA
10303,"C([*])C([*])(C(=C)OCC(C#N)CCCC)",5.85,3.03,NA,NA,1.64,-5.37,NA,1.06,6.2,0.58,NA,NA,NA,320,NA,19.77,NA,NA,NA,NA,NA,NA
10304,"C([*])C([*])(C(=O)OCCSC#N)",4.55,3.5,NA,NA,1.77,-5.39,NA,1.44,6.15,1.38,NA,NA,NA,254,NA,23.34,NA,NA,NA,NA,NA,NA
10305,"C([*])C([*])(C(=O)OCCSCCCC#N)",5.66,3.26,NA,NA,1.72,-5.33,NA,1.26,6.39,1.07,NA,NA,NA,214,NA,21.31,NA,NA,NA,NA,NA,NA
10306,"C([*])C([*])(C(=O)OCCCCCCSCC#N)",5.81,3.18,NA,NA,1.7,-5.29,NA,1.19,6.4,0.83,NA,NA,NA,220,NA,20.41,NA,NA,NA,NA,NA,NA
10307,"C([*])C([*])(C(=O)OCCCSCCC#N)",5.57,3.26,NA,NA,1.72,-5.33,NA,1.26,6.3,1.07,NA,NA,NA,216,NA,21.31,NA,NA,NA,NA,NA,NA
10308,"C([*])C([*])(C(=O)OCCSCCC#N)",5.63,3.32,NA,NA,1.73,-5.36,NA,1.31,6.34,1.18,NA,NA,NA,232,NA,21.9,NA,NA,NA,NA,NA,NA
10309,"C([*])C([*])(C(=O)Oc1cccc(N(C)C)c1)",4.31,3.51,NA,NA,1.76,-5.83,NA,1.19,5.61,1.17,NA,NA,NA,327,NA,18.97,NA,NA,NA,NA,NA,NA
10311,"C([*])C([*])(C(=O)OCCCCCCCCCCCC)",6.7,2.99,NA,NA,1.65,-5.27,NA,0.97,7.35,0.55,NA,NA,NA,240,NA,17.54,NA,NA,NA,NA,NA,NA
10312,"C([*])C([*])(C(=O)Oc1ccccc1C(=O)OCC)",4.47,3.63,NA,NA,1.77,-5.94,NA,1.25,6.71,1.85,NA,NA,NA,308,NA,20.63,NA,NA,NA,NA,NA,NA
10313,"C([*])C([*])(C(=O)Oc1cccc(C(=O)OCC)c1)",4.4,3.63,NA,NA,1.77,-5.94,NA,1.25,6.73,1.85,NA,NA,NA,315,NA,20.63,NA,NA,NA,NA,NA,NA
10314,"C([*])C([*])(C(=O)Oc1ccc(C(=O)OCC)cc1)",4.38,3.63,NA,NA,1.77,-5.94,NA,1.25,6.74,1.85,NA,NA,NA,322,NA,20.63,NA,NA,NA,NA,NA,NA
10315,"C([*])C([*])(C(=O)OCCOCC)",5.66,3.23,NA,NA,1.67,-5.41,NA,1.14,6.87,0.66,NA,NA,NA,202,NA,19.3,NA,NA,NA,NA,NA,NA
10316,"C([*])C([*])(C(=O)OCC(CC)CC)",5.92,3.03,NA,NA,1.66,-5.34,NA,1.04,7.05,0.65,NA,NA,NA,243,NA,18.06,NA,NA,NA,NA,NA,NA
10317,"C([*])C([*])(C(=O)OCF)",6.16,3.47,NA,NA,1.68,-5.53,NA,1.31,7.31,1.02,NA,NA,NA,297,NA,20.55,NA,NA,NA,NA,NA,NA
10318,"C([*])C([*])(C(=O)OCCOCC(F)(F)C(F)(F)C(F)(F)F)",6.86,3.31,NA,NA,1.63,-5.36,NA,1.6,8.17,0.81,NA,NA,NA,232,NA,15.72,NA,NA,NA,NA,NA,NA
10319,"C([*])C([*])(C(=O)OCC(F)(F)C(F)(F)OC(F)(F)F)",6.95,3.37,NA,NA,1.61,-5.4,NA,1.62,8.23,0.79,NA,NA,NA,225,NA,15.48,NA,NA,NA,NA,NA,NA
10320,"C([*])C([*])(C(=O)OCCCCCCC)",6.57,3.04,NA,NA,1.66,-5.33,NA,1.02,7.3,0.62,NA,NA,NA,217,NA,17.95,NA,NA,NA,NA,NA,NA
10321,"C([*])C([*])(C(=O)OCCCCCCCCCCCCCCCC)",6.81,2.95,NA,NA,1.65,-5.24,NA,0.95,7.33,0.48,NA,NA,NA,274,NA,17.36,NA,NA,NA,NA,NA,NA
10322,"C([*])C([*])(C(=O)OCCC(C)OC)",5.74,3.16,NA,NA,1.66,-5.39,NA,1.11,6.91,0.72,NA,NA,NA,227,NA,18.93,NA,NA,NA,NA,NA,NA
10323,"C([*])C([*])(C(=O)Oc1ccccc1C(=O)OC)",4.35,3.75,NA,NA,1.78,-6.03,NA,1.29,6.75,2.09,NA,NA,NA,312,NA,21.04,NA,NA,NA,NA,NA,NA
10324,"C([*])C([*])(C(=O)Oc1cccc(C(=O)OC)c1)",4.28,3.75,NA,NA,1.78,-6.03,NA,1.29,6.78,2.09,NA,NA,NA,319,NA,21.04,NA,NA,NA,NA,NA,NA
10325,"C([*])C([*])(C(=O)Oc1ccc(C(=O)OC)cc1)",4.26,3.75,NA,NA,1.78,-6.03,NA,1.29,6.78,2.09,NA,NA,NA,329,NA,21.04,NA,NA,NA,NA,NA,NA
10326,"C([*])C([*])(C(=O)Oc1ccc(OC)cc1)",4.7,3.5,NA,NA,1.75,-5.91,NA,1.22,5.97,1.28,NA,NA,NA,324,NA,20.54,NA,NA,NA,NA,NA,NA
10327,"C([*])C([*])(C(=O)OCCCOC)",5.68,3.26,NA,NA,1.67,-5.41,NA,1.14,6.76,0.73,NA,NA,NA,212,NA,19.3,NA,NA,NA,NA,NA,NA
10328,"C([*])C([*])(C(=O)OCC(C)CC)",5.89,3.05,NA,NA,1.66,-5.36,NA,1.06,6.97,0.68,NA,NA,NA,243,NA,18.26,NA,NA,NA,NA,NA,NA
10329,"C([*])C([*])(C(=O)OCCC(C)C)",5.91,3.05,NA,NA,1.66,-5.36,NA,1.06,6.93,0.68,NA,NA,NA,240,NA,18.26,NA,NA,NA,NA,NA,NA
10330,"C([*])C([*])(C(=O)OC(CCC(CC)CCCC)CC(C)C)",6.7,2.92,NA,NA,1.65,-5.26,NA,0.96,7.2,0.57,NA,NA,NA,257,NA,17.31,NA,NA,NA,NA,NA,NA
10331,"C([*])C([*])(C(=O)OCC(C)CCC)",5.86,3.03,NA,NA,1.66,-5.34,NA,1.04,7.01,0.65,NA,NA,NA,231,NA,18.06,NA,NA,NA,NA,NA,NA
10332,"C([*])C([*])(C(=O)OCC(C)(C)C)",6.15,2.86,NA,NA,1.64,-5.39,NA,1.06,6.97,0.48,NA,NA,NA,287,NA,18.04,NA,NA,NA,NA,NA,NA
10333,"C([*])C([*])(C(=O)OCCCCCCCCC)",6.63,3.01,NA,NA,1.66,-5.3,NA,1,7.33,0.58,NA,NA,NA,225,NA,17.74,NA,NA,NA,NA,NA,NA
10334,"C([*])C([*])(C(=O)OC(C)CCCCCC)",6.59,2.99,NA,NA,1.66,-5.32,NA,1.01,7.32,0.65,NA,NA,NA,221,NA,17.75,NA,NA,NA,NA,NA,NA
10335,"C([*])C([*])(C(=O)OC(CC)CC)",6.03,3.03,NA,NA,1.66,-5.38,NA,1.06,7.32,0.75,NA,NA,NA,254,NA,18.14,NA,NA,NA,NA,NA,NA
10336,"C([*])C([*])(CC)(C(=O)Oc1ccccc1)",4.74,3.4,NA,NA,1.74,-5.83,NA,1.14,5.71,1.41,NA,NA,NA,349,NA,19.17,NA,NA,NA,NA,NA,NA
10337,"C([*])C([*])(C(=O)OCCSC)",4.35,3.34,NA,NA,1.77,-5.3,NA,1.23,6.48,1.29,NA,NA,NA,211,NA,19.23,NA,NA,NA,NA,NA,NA
10338,"C([*])C([*])(C(=O)OCCCCSC)",4.44,3.2,NA,NA,1.73,-5.27,NA,1.14,6.46,1.04,NA,NA,NA,205,NA,18.89,NA,NA,NA,NA,NA,NA
10339,"C([*])C([*])(C(=O)OCCSCC)",4.52,3.26,NA,NA,1.75,-5.29,NA,1.18,6.61,1.14,NA,NA,NA,201,NA,19.06,NA,NA,NA,NA,NA,NA
10340,"C([*])C([*])(C(=O)OCCCSC)",4.31,3.26,NA,NA,1.75,-5.28,NA,1.18,6.39,1.14,NA,NA,NA,211,NA,19.06,NA,NA,NA,NA,NA,NA
10341,"C([*])C([*])(C(=O)OC1C=C(C)C=CC1)",5.37,3.11,NA,NA,1.67,-5.77,NA,1.13,6.28,1.18,NA,NA,NA,307,NA,18.96,NA,NA,NA,NA,NA,NA
10342,"C([*])C([*])(C(=O)Oc1ccccc1C)",5.01,3.36,NA,NA,1.75,-5.87,NA,1.17,5.78,1.37,NA,NA,NA,335,NA,19.74,NA,NA,NA,NA,NA,NA
10343,"C([*])C([*])(C(=O)Oc1ccc(C)cc1)",5.03,3.36,NA,NA,1.75,-5.87,NA,1.17,5.79,1.37,NA,NA,NA,335,NA,19.74,NA,NA,NA,NA,NA,NA
10344,"C([*])C([*])(C(=O)OCCOCC(F)(F)F)",6.04,3.33,NA,NA,1.65,-5.41,NA,1.37,7.61,0.69,NA,NA,NA,232,NA,17.74,NA,NA,NA,NA,NA,NA
10345,"C([*])C([*])(C(=O)NCCCC)",5.59,3.2,NA,NA,1.66,-5.39,NA,1.04,6.68,0.64,NA,NA,NA,346,NA,23.69,NA,NA,NA,NA,NA,NA
10346,"C([*])C([*])(C(=O)NC(C)CCC)",5.66,3.13,NA,NA,1.66,-5.38,NA,1.02,6.76,0.73,NA,NA,NA,364,NA,23.07,NA,NA,NA,NA,NA,NA
10347,"C([*])C([*])(C(=O)N1CCOCC1)",5.73,3.29,NA,NA,1.63,-5.63,NA,1.15,6.22,0.7,NA,NA,NA,400,NA,25.24,NA,NA,NA,NA,NA,NA
10348,"C([*])C([*])(C(=O)NCCCCCCCCCCCCCCCCCC)",6.81,2.95,NA,NA,1.64,-5.22,NA,0.93,7.11,0.39,NA,NA,NA,193,NA,20.7,NA,NA,NA,NA,NA,NA
10349,"C([*])C([*])(C(=O)NN1CCCCC1)",5.74,3.3,NA,NA,1.63,-5.54,NA,1.08,6.4,0.62,NA,NA,NA,384,NA,24.57,NA,NA,NA,NA,NA,NA
10350,"C([*])C([*])(C)(C(=O)OCCBr)",4.24,3.18,NA,NA,1.73,-5.33,NA,1.31,5.3,1.69,NA,NA,NA,335,NA,19.97,NA,NA,NA,NA,NA,NA
10351,"C([*])C([*])(C)(C(=O)OCCNC(C)(C)C)",5.64,2.94,NA,NA,1.64,-5.38,NA,1.04,6.73,0.5,NA,NA,NA,306,NA,17.71,NA,NA,NA,NA,NA,NA
10352,"C([*])C([*])(C)(C(=O)Oc1ccc(C(C)(C)C)cc1)",4.97,3.06,NA,NA,1.7,-5.69,NA,1.07,6.24,1.07,NA,NA,NA,371,NA,17.96,NA,NA,NA,NA,NA,NA
10353,"C([*])C([*])(C)(C(=O)OCCCC#N)",5.67,3.14,NA,NA,1.66,-5.48,NA,1.22,6.73,0.74,NA,NA,NA,356,NA,21.47,NA,NA,NA,NA,NA,NA
10354,"C([*])C([*])(C)(C(=O)Oc1ccc(CC#N)cc1)",4.61,3.35,NA,NA,1.73,-5.87,NA,1.25,6.02,1.36,NA,NA,NA,379,NA,21.45,NA,NA,NA,NA,NA,NA
10355,"C([*])C([*])(C)(C(=O)Oc1ccc(C#N)cc1)",4.71,3.46,NA,NA,1.74,-5.96,NA,1.3,6.1,1.65,NA,NA,NA,413,NA,22.27,NA,NA,NA,NA,NA,NA
10356,"C([*])C([*])(C)(C(=O)OC1CCC1)",6.18,3.13,NA,NA,1.65,-5.51,NA,1.1,7.18,0.76,NA,NA,NA,364,NA,18.31,NA,NA,NA,NA,NA,NA
10357,"C([*])(C)C([*])(C(=O)OC1CCCCCCC1)",6.59,3.04,NA,NA,1.63,-5.45,NA,1.02,7.19,0.49,NA,NA,NA,326,NA,17.96,NA,NA,NA,NA,NA,NA
10358,"C([*])C([*])(C)(C(=O)OCC1CCCCCCC1)",6.32,3.03,NA,NA,1.63,-5.43,NA,1.01,7.12,0.45,NA,NA,NA,342,NA,17.44,NA,NA,NA,NA,NA,NA
10359,"C([*])C([*])(C)(C(=O)OC1CCCC1)",6.23,3.1,NA,NA,1.64,-5.5,NA,1.07,7.14,0.67,NA,NA,NA,357,NA,18.05,NA,NA,NA,NA,NA,NA
10360,"C([*])C([*])(C)(C(=O)OCCC(C)(C)C)",5.88,2.83,NA,NA,1.64,-5.36,NA,1.02,7.02,0.5,NA,NA,NA,322,NA,17.27,NA,NA,NA,NA,NA,NA
10361,"C([*])C([*])(C)(C(=O)OC(C)C(C)(C)C)",6.01,2.79,NA,NA,1.64,-5.37,NA,1.02,7.14,0.58,NA,NA,NA,349,NA,17.17,NA,NA,NA,NA,NA,NA
10362,"C([*])C([*])(C)(C(=O)OCC(CC)CCCC)",5.7,2.96,NA,NA,1.66,-5.31,NA,1,7.13,0.6,NA,NA,NA,278,NA,17.19,NA,NA,NA,NA,NA,NA
10363,"C([*])C([*])(C)(C(=O)OCCS(=O)CC)",4.62,3.38,NA,NA,1.72,-5.59,NA,1.18,6.84,1.05,NA,NA,NA,283,NA,19.74,NA,NA,NA,NA,NA,NA
10364,"C([*])C([*])(C(=O)OCC1CO1)",6.17,3.41,NA,NA,1.66,-5.6,NA,1.24,7.08,0.9,NA,NA,NA,308,NA,20.49,NA,NA,NA,NA,NA,NA
10365,"C([*])C([*])(C)(C(=O)Oc1ccc(C(=O)OC)cc1)",4.23,3.61,NA,NA,1.77,-5.94,NA,1.25,6.74,1.94,NA,NA,NA,381,NA,20.66,NA,NA,NA,NA,NA,NA
10366,"C([*])(C)C([*])(C(=O)OCCN=O)",5.78,3.23,NA,NA,1.67,-5.6,NA,1.24,6.33,1.1,NA,NA,NA,315,NA,21.72,NA,NA,NA,NA,NA,NA
10367,"C([*])C([*])(C)(C(=O)OCCOC)",5.44,3.21,NA,NA,1.67,-5.42,NA,1.14,6.83,0.75,NA,NA,NA,295,NA,19,NA,NA,NA,NA,NA,NA
10368,"C([*])C([*])(C)C(=O)OCCCCC",5.62,3.02,NA,NA,1.66,-5.36,NA,1.04,7.21,0.66,NA,NA,NA,277,NA,17.62,NA,NA,NA,NA,NA,NA
10369,"C([*])C([*])(C)(C(=O)OCCCCCCCCCCCCCC)",6.59,2.95,NA,NA,1.65,-5.26,NA,0.96,7.33,0.52,NA,NA,NA,244,NA,16.87,NA,NA,NA,NA,NA,NA
10370,"C([*])C([*])(C)(C(=O)OC1CC(C)CC(C)(C)C1)",6.35,2.94,NA,NA,1.64,-5.4,NA,1.01,7.01,0.57,NA,NA,NA,382,NA,17.24,NA,NA,NA,NA,NA,NA
10371,"C([*])C([*])(C)(C(=O)OCCC(C)CC(C)(C)C)",5.83,2.82,NA,NA,1.64,-5.31,NA,0.99,6.95,0.48,NA,NA,NA,303,NA,16.98,NA,NA,NA,NA,NA,NA
10372,"C([*])C([*])(Cl)(C(=O)OCCCC)",5.26,3.09,NA,NA,1.68,-5.34,NA,1.21,5.95,1.26,NA,NA,NA,325,NA,19.43,NA,NA,NA,NA,NA,NA
10373,"C([*])C([*])(Cl)(C(=O)OC(C)CC)",5.43,3.09,NA,NA,1.66,-5.34,NA,1.21,6.06,1.31,NA,NA,NA,355,NA,19.33,NA,NA,NA,NA,NA,NA
10374,"C([*])C([*])(Cl)(C(=O)OC1CCCCC1)",5.83,3.22,NA,NA,1.64,-5.5,NA,1.17,6.66,1.22,NA,NA,NA,377,NA,19.23,NA,NA,NA,NA,NA,NA
10376,"C([*])C([*])(Cl)(C(=O)OCC(C)C)",5.44,3.09,NA,NA,1.69,-5.34,NA,1.21,5.66,1.24,NA,NA,NA,351,NA,19.3,NA,NA,NA,NA,NA,NA
10377,"C([*])C([*])(Cl)(C(=O)OC(C)C)",5.39,3.15,NA,NA,1.67,-5.36,NA,1.26,6,1.34,NA,NA,NA,375,NA,19.71,NA,NA,NA,NA,NA,NA
10378,"C([*])C([*])(Cl)(C(=O)OC)",4.77,3.42,NA,NA,1.73,-5.45,NA,1.43,5.8,1.5,NA,NA,NA,404,NA,20.47,NA,NA,NA,NA,NA,NA
10379,"C([*])C([*])(F)(C(=O)OC)",5.31,3.41,NA,NA,1.68,-5.61,NA,1.4,7.6,1.54,NA,NA,NA,388,NA,20.1,NA,NA,NA,NA,NA,NA
10381,"C([*])C([*])(CC1CCCCC1)",7.64,2.94,NA,NA,1.62,-5.29,NA,0.9,7.02,0.3,NA,NA,NA,343,NA,17.18,NA,NA,NA,NA,NA,NA
10382,"C([*])C([*])(CC1CCCC1)",7.59,2.95,NA,NA,1.62,-5.28,NA,0.9,6.97,0.33,NA,NA,NA,341,NA,17.25,NA,NA,NA,NA,NA,NA
10383,"C([*])C([*])(CCC(C)(C)C)",7.28,2.65,NA,NA,1.62,-5.18,NA,0.87,6.92,0.24,NA,NA,NA,323,NA,16.85,NA,NA,NA,NA,NA,NA
10384,"C([*])C([*])(CCCC(C)(C)C)",7.28,2.67,NA,NA,1.62,-5.18,NA,0.87,7.03,0.26,NA,NA,NA,306,NA,16.83,NA,NA,NA,NA,NA,NA
10385,"C([*])C([*])(CCCCCC)(CCCCCCCCCC)",7.62,2.83,NA,NA,1.64,-5.16,NA,0.87,7.24,0.37,NA,NA,NA,278,NA,15.82,NA,NA,NA,NA,NA,NA
10387,"C([*])C([*])(CCCC(C)C)",7.15,2.83,NA,NA,1.65,-5.14,NA,0.87,7.03,0.43,NA,NA,NA,255,NA,16.97,NA,NA,NA,NA,NA,NA
10388,"C([*])C([*])(CCC(C)C)",7.19,2.82,NA,NA,1.65,-5.14,NA,0.87,6.96,0.43,NA,NA,NA,266,NA,17.01,NA,NA,NA,NA,NA,NA
10389,"C([*])C([*])(CC(C)(C)C)",7.39,2.61,NA,NA,1.62,-5.18,NA,0.87,6.89,0.21,NA,NA,NA,330,NA,16.88,NA,NA,NA,NA,NA,NA
10390,"C([*])C([*])(CCCCCCCCC)",6.95,2.87,NA,NA,1.65,-5.15,NA,0.87,7.26,0.44,NA,NA,NA,218,NA,16.88,NA,NA,NA,NA,NA,NA
10392,"C([*])C([*])(CCCCCCCCCCCCCC)",7.71,2.87,NA,NA,1.65,-5.15,NA,0.87,7.3,0.44,NA,NA,NA,275,NA,16.88,NA,NA,NA,NA,NA,NA
10394,"C([*])/C=C(C)C([*])",5.61,2.76,NA,NA,1.67,-5.5,NA,0.92,6.06,0.81,NA,NA,NA,217,NA,16.61,NA,NA,NA,NA,NA,NA
10395,"C([*])C([*])(c1ccc(C(C)=O)cc1)",3.83,3.52,NA,NA,1.79,-5.93,NA,1.12,6.4,2.01,NA,NA,NA,373,NA,20.8,NA,NA,NA,NA,NA,NA
10396,"C([*])C([*])(c2ccc(C(=O)c1ccccc1)cc2)",3.62,3.92,NA,NA,1.87,-6.16,NA,1.14,5.64,2.16,NA,NA,NA,392,NA,21.39,NA,NA,NA,NA,NA,NA
10397,"C([*])C([*])(C3=CC(c2ccc(c1ccccc1)cc2)CC=C3)",4.26,3.47,NA,NA,1.78,-6.04,NA,1.05,4.88,1.39,NA,NA,NA,434,NA,19.7,NA,NA,NA,NA,NA,NA
10398,"C([*])C([*])(C3=CCC(c2ccc(c1ccccc1)cc2)C=C3)",4.26,3.47,NA,NA,1.78,-6.04,NA,1.05,4.88,1.39,NA,NA,NA,434,NA,19.7,NA,NA,NA,NA,NA,NA
10399,"C([*])C([*])(C1=C(OCCCC)C=CC(Br)C1)",4.59,3.04,NA,NA,1.68,-5.41,NA,1.08,5.63,1.57,NA,NA,NA,313,NA,19.04,NA,NA,NA,NA,NA,NA
10400,"C([*])C([*])(C1=C(OCC)C=CC(Br)C1)",4.3,3.11,NA,NA,1.73,-5.48,NA,1.13,5.58,1.78,NA,NA,NA,333,NA,19.49,NA,NA,NA,NA,NA,NA
10401,"C([*])C([*])(C1=C(OCCC(C)C)C=CC(Br)C1)",4.79,3.02,NA,NA,1.68,-5.38,NA,1.06,5.56,1.45,NA,NA,NA,325,NA,18.73,NA,NA,NA,NA,NA,NA
10402,"C([*])C([*])(C1=C(OC(C)C)C=CC(Br)C1)",4.62,3.07,NA,NA,1.69,-5.44,NA,1.1,5.71,1.65,NA,NA,NA,334,NA,19.15,NA,NA,NA,NA,NA,NA
10403,"C([*])C([*])(C1=C(OC)C=CC(Br)C1)",4.11,3.16,NA,NA,1.77,-5.53,NA,1.17,5.61,2,NA,NA,NA,351,NA,19.81,NA,NA,NA,NA,NA,NA
10404,"C([*])C([*])(C1=C(OCCCCC)C=CC(Br)C1)",4.69,3.02,NA,NA,1.67,-5.38,NA,1.06,5.68,1.5,NA,NA,NA,303,NA,18.87,NA,NA,NA,NA,NA,NA
10405,"C([*])C([*])(C1=C(OCCC)C=CC(Br)C1)",4.46,3.07,NA,NA,1.7,-5.44,NA,1.1,5.59,1.67,NA,NA,NA,322,NA,19.25,NA,NA,NA,NA,NA,NA
10406,"C([*])C([*])(c1ccc(Br)cc1)",3.16,3.39,NA,NA,1.92,-5.77,NA,1.24,5.06,2.74,NA,NA,NA,387,NA,19.14,NA,NA,NA,NA,NA,NA
10407,"C([*])C([*])(c1ccccc1C(=O)OCCCC)",4.52,3.37,NA,NA,1.75,-5.72,NA,1.09,6.61,1.56,NA,NA,NA,334,NA,19.24,NA,NA,NA,NA,NA,NA
10408,"C([*])C([*])(c1ccc(C(=O)OCCCC)cc1)",4.52,3.37,NA,NA,1.75,-5.72,NA,1.09,6.65,1.56,NA,NA,NA,334,NA,19.24,NA,NA,NA,NA,NA,NA
10409,"C([*])C([*])(c1ccccc1COCCCC)",4.73,3.17,NA,NA,1.71,-5.55,NA,1,6.26,1.06,NA,NA,NA,300,NA,18.71,NA,NA,NA,NA,NA,NA
10410,"C([*])C([*])(c1ccc(COCCCC)cc1)",4.75,3.17,NA,NA,1.71,-5.55,NA,1,6.26,1.06,NA,NA,NA,299,NA,18.71,NA,NA,NA,NA,NA,NA
10411,"C([*])C([*])(c1ccc(OCCCC)cc1)",4.77,3.18,NA,NA,1.72,-5.6,NA,1.01,5.88,0.93,NA,NA,NA,318,NA,18.91,NA,NA,NA,NA,NA,NA
10412,"C([*])C([*])(c1ccc(CCCC)cc1)",4.69,3.11,NA,NA,1.72,-5.59,NA,0.96,5.99,1.11,NA,NA,NA,309,NA,17.92,NA,NA,NA,NA,NA,NA
10413,"C([*])C([*])(c1ccc(C(C)CC)cc1)",4.74,3.1,NA,NA,1.72,-5.6,NA,0.96,5.97,1.23,NA,NA,NA,349,NA,17.82,NA,NA,NA,NA,NA,NA
10415,"C([*])C([*])(c1ccc(C(=O)CCC)cc1)",4.05,3.39,NA,NA,1.76,-5.77,NA,1.07,6.52,1.76,NA,NA,NA,350,NA,19.93,NA,NA,NA,NA,NA,NA
10416,"C([*])C([*])(c1ccccc1C(=O)O)",4.19,3.77,NA,NA,1.8,-6.05,NA,1.24,6.71,2.36,NA,NA,NA,413,NA,21.79,NA,NA,NA,NA,NA,NA
10417,"C([*])C([*])(c1ccc(C(=O)O)cc1)",4.17,3.76,NA,NA,1.8,-6.05,NA,1.24,6.78,2.36,NA,NA,NA,420,NA,21.79,NA,NA,NA,NA,NA,NA
10418,"C([*])C([*])(c1ccc(Cl)c(F)c1)",3.81,3.4,NA,NA,1.8,-5.81,NA,1.2,5.45,2.57,NA,NA,NA,392,NA,18.65,NA,NA,NA,NA,NA,NA
10419,"C([*])C([*])(c1ccc(Cl)cc1C)",4.01,3.22,NA,NA,1.75,-5.69,NA,1.13,5.2,1.99,NA,NA,NA,396,NA,18.64,NA,NA,NA,NA,NA,NA
10420,"C([*])C([*])(c1ccc(Cl)c(C)c1)",4.1,3.22,NA,NA,1.75,-5.69,NA,1.13,5.2,2,NA,NA,NA,395,NA,18.64,NA,NA,NA,NA,NA,NA
10421,"C([*])C([*])(c1cccc(Cl)c1)",3.47,3.32,NA,NA,1.85,-5.81,NA,1.18,4.94,2.35,NA,NA,NA,391,NA,19.25,NA,NA,NA,NA,NA,NA
10422,"C([*])C([*])(c1ccc(C#N)cc1)",4.49,3.45,NA,NA,1.76,-5.97,NA,1.21,5.88,1.67,NA,NA,NA,401,NA,21.9,NA,NA,NA,NA,NA,NA
10423,"C([*])C([*])(c1ccc(CCCCCCCCCC)cc1)",5.66,3.02,NA,NA,1.69,-5.42,NA,0.93,6.44,0.88,NA,NA,NA,241,NA,17.49,NA,NA,NA,NA,NA,NA
10424,"C([*])C([*])(c1ccc(Cl)cc1Cl)",2.79,3.6,NA,NA,1.91,-5.72,NA,1.38,4.92,2.95,NA,NA,NA,409,NA,18.87,NA,NA,NA,NA,NA,NA
10425,"C([*])C([*])(c1cc(Cl)ccc1Cl)",2.74,3.6,NA,NA,1.91,-5.72,NA,1.38,4.92,2.96,NA,NA,NA,409,NA,18.87,NA,NA,NA,NA,NA,NA
10426,"C([*])C([*])(c1c(Cl)cccc1Cl)",2.77,3.6,NA,NA,1.91,-5.72,NA,1.38,4.92,2.95,NA,NA,NA,410,NA,18.87,NA,NA,NA,NA,NA,NA
10427,"C([*])C([*])(c1ccc(Cl)c(Cl)c1)",2.74,3.6,NA,NA,1.91,-5.72,NA,1.38,4.92,3.08,NA,NA,NA,406,NA,18.87,NA,NA,NA,NA,NA,NA
10428,"C([*])C([*])(c1ccc(C(=O)N(CC)CC)cc1)",4.33,3.37,NA,NA,1.74,-5.73,NA,1.06,6.49,1.62,NA,NA,NA,394,NA,23.98,NA,NA,NA,NA,NA,NA
10429,"C([*])C([*])(c1ccc(F)cc1F)",5.13,3.48,NA,NA,1.76,-5.81,NA,1.07,5.93,1.53,NA,NA,NA,378,NA,18.08,NA,NA,NA,NA,NA,NA
10431,"C([*])C([*])(c1cc(C(C)C)ccc1C(C)C)",4.94,2.98,NA,NA,1.71,-5.54,NA,0.95,6.45,1.19,NA,NA,NA,365,NA,17.42,NA,NA,NA,NA,NA,NA
10432,"C([*])C([*])(c1ccccc1C(=O)N(C)C)",4.07,3.47,NA,NA,1.77,-5.85,NA,1.11,6.51,1.93,NA,NA,NA,434,NA,24.85,NA,NA,NA,NA,NA,NA
10433,"C([*])C([*])(c1ccc(C(=O)N(C)C)cc1)",4.05,3.47,NA,NA,1.77,-5.85,NA,1.11,6.49,1.93,NA,NA,NA,430,NA,24.85,NA,NA,NA,NA,NA,NA
10434,"C([*])C([*])(c1ccccc1C(=O)OCCN(C)C)",4.09,3.33,NA,NA,1.74,-5.71,NA,1.1,6.27,1.75,NA,NA,NA,345,NA,19.61,NA,NA,NA,NA,NA,NA
10435,"C([*])C([*])(c1ccc(C(=O)OCCN(C)C)cc1)",4.1,3.33,NA,NA,1.74,-5.71,NA,1.1,6.25,1.75,NA,NA,NA,346,NA,19.61,NA,NA,NA,NA,NA,NA
10437,"C([*])C([*])(c1cc(C)ccc1C)",5.09,3,NA,NA,1.74,-5.63,NA,0.99,5.85,1.06,NA,NA,NA,396,NA,17.95,NA,NA,NA,NA,NA,NA
10438,"C([*])C([*])(c1ccc(C)c(C)c1)",5.05,3,NA,NA,1.74,-5.63,NA,0.99,5.9,1.06,NA,NA,NA,396,NA,17.95,NA,NA,NA,NA,NA,NA
10439,"C([*])C([*])(c1cc(C)cc(C)c1)",5.15,3,NA,NA,1.74,-5.62,NA,0.99,5.8,1.06,NA,NA,NA,396,NA,17.95,NA,NA,NA,NA,NA,NA
10440,"C([*])C([*])(c1ccc(CCCCCCCCCCCC)cc1)",5.79,3.01,NA,NA,1.69,-5.39,NA,0.92,6.54,0.84,NA,NA,NA,237,NA,17.41,NA,NA,NA,NA,NA,NA
