"PGID_","SMILES","Bandgap","Dielectric.Constant","Ionic.Dielectric.Constant","Electronic.Dielectric.Constant","Refractive.Index","Atomization.Energy","Breakdown.Field","Density","Ionization.Energy","Electron.Affinity","Cohesive.Energy","Dielectric.Loss","Melting.Temperature","Glass.Transition.Temperature","Onset.of.Degradation.Temperature","Hildebrand.Solubility.Parameter","Energy.Density","State","Molecular.Weight","Entanglement.Molecular.Weight","Molar.Heat.Capacity","Molar.Volume"
3253,"*C(F)(F)C(F)(F)C(=O)O*",6.01,3.5,0.79,2.52,1.59,-5.64,NA,1.84,9.06,2.81,1.77,NA,NA,313,NA,15.38,NA,NA,NA,NA,NA,NA
3254,"*C(F)(F)C(F)(F)C(=S)O*",3.21,3.52,0.74,2.94,1.72,-5.26,NA,1.85,7.1,3.64,1.65,NA,NA,337,NA,17.38,NA,NA,NA,NA,NA,NA
3255,"*C(F)(F)C(F)(F)NC(S1)=CC=C1*",3.81,4.15,1.03,3.47,1.81,-5.66,NA,1.66,6.08,1.73,1.46,NA,NA,349,NA,16.76,NA,NA,NA,NA,NA,NA
3256,"*C(F)(F)C(F)(F)NC(C=C1)=CC=C1*",4.27,4,0.7,3.22,1.78,-5.88,NA,1.51,6.27,1.62,1.09,NA,NA,374,NA,17.06,NA,NA,NA,NA,NA,NA
3257,"*C(F)(F)C(F)(F)NC(=O)*",5.55,4.05,0.83,2.7,1.61,-5.64,NA,1.78,8.21,2.46,1.57,NA,NA,309,NA,17.47,NA,NA,NA,NA,NA,NA
3258,"*C(F)(F)C(F)(F)NC(=S)*",3,4.34,0.7,3.12,1.77,-5.31,NA,1.81,6.7,3.35,1.46,NA,NA,353,NA,16.63,NA,NA,NA,NA,NA,NA
3259,"*C(F)(F)C(F)(F)ON*",7.44,3.79,1.17,2.56,1.59,-5.15,NA,1.79,9.04,0.99,1.53,NA,NA,259,NA,14.4,NA,NA,NA,NA,NA,NA
3260,"*C(F)(F)CC(F)(F)C(S1)=CC=C1*",4,3.53,0.66,3.09,1.75,-5.59,NA,1.55,7.1,2.08,1.15,NA,NA,305,NA,18.99,NA,NA,NA,NA,NA,NA
3261,"*C(F)(F)CC(F)(F)C(C=C1)=CC=C1*",4.47,3.49,0.5,2.98,1.73,-5.8,NA,1.4,7.06,1.85,0.99,NA,NA,326,NA,19.09,NA,NA,NA,NA,NA,NA
3262,"*C(F)(F)CC(F)(F)C(=O)*",5,3.59,1.04,2.59,1.64,-5.48,NA,1.7,8.23,3.01,1.31,NA,NA,303,NA,17.08,NA,NA,NA,NA,NA,NA
3263,"*C(F)(F)CC(F)(F)C(=S)*",2.61,3.78,0.69,3.1,1.8,-5.2,NA,1.75,7.38,4.15,1.31,NA,NA,340,NA,19.35,NA,NA,NA,NA,NA,NA
3264,"*C(F)(F)CC(F)(F)N*",8.45,3.75,1.28,2.63,1.61,-5.26,NA,1.6,8.7,1.16,1.16,NA,NA,259,NA,13.77,NA,NA,NA,NA,NA,NA
3265,"*C(F)(F)CC(F)(F)O*",9.53,3.34,0.97,2.5,1.6,-5.25,NA,1.69,9.48,0.77,1.31,NA,NA,248,NA,13.52,NA,NA,NA,NA,NA,NA
3266,"*C(F)(F)C(=O)C(F)(F)C(S1)=CC=C1*",2.84,3.93,0.8,3.25,1.79,-5.83,NA,1.56,7.47,3.51,1.35,NA,NA,318,NA,18.76,NA,NA,NA,NA,NA,NA
3267,"*C(F)(F)C(=O)C(F)(F)C(C=C1)=CC=C1*",3.57,3.77,0.55,3.02,1.76,-6.01,NA,1.41,7.61,3.17,1.17,NA,NA,334,NA,19.12,NA,NA,NA,NA,NA,NA
3268,"*C(F)(F)C(=O)C(F)(F)C(=O)*",3.36,3.98,1.1,2.67,1.66,-5.77,NA,1.64,7.46,4.56,1.62,NA,NA,322,NA,18.88,NA,NA,NA,NA,NA,NA
3269,"*C(F)(F)C(=O)C(F)(F)O*",5.26,3.76,1.05,2.5,1.6,-5.57,NA,1.62,8.78,3.44,1.69,NA,NA,300,NA,15.76,NA,NA,NA,NA,NA,NA
3270,"*C(F)(F)C(=S)C(F)(F)O*",2.63,3.83,0.8,2.81,1.76,-5.23,NA,1.68,7.41,4.41,0.95,NA,NA,338,NA,16.81,NA,NA,NA,NA,NA,NA
3271,"*C(F)(F)NC(F)(F)C(S1)=CC=C1*",3.95,4.03,1.32,3.16,1.76,-5.66,NA,1.47,7.16,2.34,1.28,NA,NA,313,NA,16.77,NA,NA,NA,NA,NA,NA
3272,"*C(F)(F)NC(F)(F)C(C=C1)=CC=C1*",4.5,3.88,0.74,3.04,1.74,-5.87,NA,1.33,7.23,2.12,1.05,NA,NA,345,NA,17.24,NA,NA,NA,NA,NA,NA
3273,"*C(F)(F)NC(F)(F)C(=O)*",4.85,4.3,2.11,2.64,1.63,-5.57,NA,1.57,8.69,3.64,1.51,NA,NA,290,NA,16.03,NA,NA,NA,NA,NA,NA
3274,"*C(F)(F)NC(F)(F)C(=S)*",2.62,4.47,1.29,3.2,1.79,-5.28,NA,1.65,7.52,4.48,1.47,NA,NA,326,NA,16.61,NA,NA,NA,NA,NA,NA
3275,"*C(F)(F)NC(F)(F)N*",7.98,4.53,1.76,2.67,1.6,-5.31,NA,1.48,8.51,1.65,1.28,NA,NA,273,NA,15.11,NA,NA,NA,NA,NA,NA
3276,"*C(F)(F)NC(F)(F)O*",8.65,4.09,1.5,2.54,1.59,-5.29,NA,1.55,9.07,1.05,1.56,NA,NA,265,NA,14.61,NA,NA,NA,NA,NA,NA
3277,"*C(F)(F)OC(F)(F)O*",9.88,3.69,1.37,2.43,1.56,-5.25,NA,1.61,8.02,0.41,1.78,NA,NA,310,NA,14.4,NA,NA,NA,NA,NA,NA
10001,"[*]CC([*])(C(=O)N)",5.81,3.63,NA,NA,1.69,-5.65,NA,1.23,6.21,1.23,NA,NA,NA,439,NA,27.9,NA,NA,66.04,NA,NA,54.6
10002,"C([*])C([*])(C(=O)NC(C)C)",5.64,3.22,NA,NA,1.66,-5.44,NA,1.07,6.48,0.84,0.59,NA,473,397,NA,24.07,NA,NA,102.07,NA,NA,107.8
10003,"C([*])C([*])(C(=O)NCCCCCCCC)",6.45,3.08,NA,NA,1.66,-5.31,NA,0.98,6.99,0.55,0.9,NA,NA,214,NA,22.29,NA,NA,162.12,NA,NA,183.5
10004,"C([*])C([*])(C(=O)NC(C)(C)C)",5.86,2.99,NA,NA,1.64,-5.44,NA,1.04,6.54,0.55,0.68,NA,NA,405,NA,23.19,NA,NA,114.08,NA,NA,123
10005,"C([*])C([*])(C(=O)NC1=CC=CC=C1)",4.15,4.02,NA,NA,1.83,-5.99,NA,1.23,5.25,1.51,0.83,NA,NA,431,NA,24.51,NA,NA,138.1,NA,NA,128.5
10006,"C([*])C([*])(C(=O)NC(C)CC)",5.65,3.17,NA,NA,1.66,-5.4,NA,1.04,6.64,0.77,NA,NA,NA,380,NA,23.51,NA,NA,114.08,NA,NA,NA
10007,"C([*])C([*])(C(=O)O)",6.36,3.54,NA,NA,1.66,-5.67,NA,1.36,7.43,1.8,NA,NA,NA,378,NA,22.6,NA,NA,68.03,NA,NA,51.1
10008,"C([*])C([*])(C(=O)OCC1=CC=CC=C1)",4.69,3.52,NA,NA,1.75,-5.91,NA,1.17,6.07,1.6,0.54,NA,NA,286,NA,19.85,NA,NA,152.11,NA,NA,140.9
